trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
102,explore,499.7,2873.6,1004.3,88.96713615023472,23.999999999999996,93.19000000000001
103,explore,499.7,2875.9,1015.1,89.02816901408451,24.30769230769231,93.23499999999999
104,explore,499.6,2876.7,1025.4,89.04694835680752,24.53846153846154,93.24000000000001
105,explore,499.6,2879.4,1034.6,89.09859154929578,25.0,93.265
106,explore,499.2,2880.0,1046.7,89.1455399061033,25.46153846153846,93.285
107,explore,499.6,2881.7,1057.2,89.17370892018778,25.61538461538462,93.30499999999999
108,explore,499.8,2885.7,1068.3,89.2206572769953,26.0,93.32999999999998
109,explore,499.7,2887.1,1079.2,89.25352112676056,26.230769230769234,93.35
110,explore,499.7,2890.2,1087.5,89.29577464788733,26.538461538461537,93.37500000000001
111,explore,499.8,2891.5,1099.2,89.35211267605634,26.846153846153847,93.41499999999999
112,explore,499.5,2892.4,1110.0,89.39436619718309,27.230769230769234,93.43499999999999
113,explore,499.5,2893.9,1117.9,89.42723004694835,27.384615384615387,93.46
114,explore,499.6,2895.1,1129.0,89.48826291079811,27.846153846153847,93.495
115,explore,499.4,2896.2,1141.9,89.55399061032864,28.153846153846153,93.545
116,explore,499.4,2898.3,1151.0,89.60563380281691,28.384615384615387,93.58500000000001
117,explore,499.9,2900.8,1159.5,89.66666666666664,28.846153846153847,93.62
118,explore,499.7,2902.8,1169.6,89.6995305164319,29.30769230769231,93.62500000000001
119,explore,498.8,2904.1,1182.8,89.78873239436618,30.538461538461537,93.64000000000001
120,explore,499.8,2906.6,1190.3,89.82159624413146,30.69230769230769,93.665
121,explore,499.9,2910.1,1198.2,89.89201877934272,31.461538461538463,93.68999999999998
122,explore,499.5,2911.3,1209.0,89.93427230046947,31.69230769230769,93.72
123,explore,499.0,2911.6,1221.3,90.0,32.23076923076923,93.75499999999998
124,explore,499.5,2912.4,1231.2,90.05164319248827,32.69230769230769,93.78
125,explore,499.8,2914.4,1241.3,90.10328638497651,33.23076923076923,93.80000000000001
126,explore,499.7,2915.4,1253.1,90.1455399061033,33.76923076923078,93.81
127,explore,499.0,2916.2,1264.3,90.23004694835682,34.53846153846154,93.85000000000002
128,explore,499.1,2916.6,1272.9,90.27699530516432,35.00000000000001,93.86999999999999
129,explore,499.6,2917.0,1287.2,90.38028169014083,36.07692307692308,93.91
130,explore,499.7,2918.0,1296.5,90.4319248826291,36.46153846153847,93.94000000000001
131,explore,499.5,2918.4,1307.5,90.48826291079814,37.07692307692308,93.96
132,explore,498.5,2918.7,1319.3,90.59154929577466,38.15384615384615,94.0
133,explore,499.1,2918.6,1330.5,90.68075117370893,39.07692307692308,94.035
134,explore,499.4,2919.4,1339.9,90.74647887323944,39.769230769230774,94.05999999999999
135,explore,499.3,2920.2,1352.5,90.83098591549297,40.61538461538463,94.09499999999998
136,explore,499.5,2920.9,1362.2,90.89201877934272,41.23076923076924,94.11999999999999
137,explore,499.4,2921.2,1374.4,90.9906103286385,42.384615384615394,94.15
138,explore,499.8,2921.8,1386.9,91.11267605633803,43.46153846153847,94.21
139,explore,498.8,2922.4,1398.3,91.18309859154928,44.153846153846146,94.23999999999998
140,explore,498.6,2922.4,1408.1,91.29577464788733,45.07692307692307,94.3
141,explore,499.2,2923.3,1419.5,91.36619718309859,45.84615384615384,94.325
142,explore,498.9,2923.2,1431.9,91.47417840375587,46.92307692307692,94.37
143,explore,499.5,2923.2,1442.2,91.53990610328638,47.38461538461538,94.41
144,explore,499.2,2922.5,1457.3,91.69014084507043,48.846153846153854,94.47500000000001
145,explore,499.5,2922.1,1470.1,91.75117370892019,49.230769230769226,94.51500000000001
146,explore,499.3,2923.0,1480.7,91.83568075117371,50.07692307692308,94.55
147,explore,499.5,2922.8,1492.1,91.90610328638498,50.846153846153854,94.57499999999999
148,explore,498.3,2922.3,1505.6,92.0093896713615,51.46153846153847,94.64500000000001
149,explore,499.8,2923.2,1519.0,92.09859154929578,52.46153846153847,94.675
150,explore,498.8,2923.7,1531.0,92.1737089201878,53.07692307692307,94.715
151,explore,499.1,2925.4,1545.0,92.30516431924882,54.53846153846153,94.75999999999998
152,explore,498.7,2925.7,1559.0,92.42723004694837,55.92307692307693,94.8
153,explore,499.1,2925.6,1571.5,92.50234741784035,56.84615384615385,94.82000000000001
154,explore,498.9,2925.3,1586.2,92.60563380281688,57.92307692307693,94.86
155,explore,498.7,2925.5,1600.5,92.73708920187794,59.38461538461537,94.905
156,explore,497.9,2925.1,1612.1,92.83568075117371,60.46153846153845,94.94000000000001
157,explore,499.1,2928.6,1622.4,92.89201877934272,60.999999999999986,94.96499999999999
158,explore,498.5,2928.2,1634.3,92.981220657277,61.69230769230768,95.01500000000001
159,explore,498.5,2927.4,1646.8,93.09859154929578,62.61538461538462,95.08
160,explore,498.4,2926.7,1659.6,93.18779342723005,63.38461538461537,95.125
