trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
917,80.11204481792718,-10,161.4,explore,161.4,2400.0,2400.0
918,80.11204481792718,20,157.3,explore,157.3,2400.0,2400.0
919,80.11204481792718,-1,140.5,explore,140.5,2400.0,2400.0
920,80.11204481792718,20,129.1,explore,129.1,2400.0,2400.0
921,80.11204481792718,20,156.3,explore,156.3,2400.0,2400.0
922,80.11204481792718,-1,172.2,explore,172.2,2400.0,2400.0
923,80.11204481792718,20,121.3,explore,121.3,2400.0,2400.0
924,80.11204481792718,20,153.5,explore,153.5,2400.0,2400.0
925,80.11204481792718,20,149.8,explore,149.8,2400.0,2400.0
926,80.11204481792718,-1,140.9,explore,140.9,2400.0,2400.0
927,80.11204481792718,-1,144.2,explore,144.2,2400.0,2400.0
928,80.11204481792718,20,166.7,explore,166.7,2400.0,2400.0
929,80.11204481792718,20,128.9,explore,128.9,2400.0,2400.0
930,80.11204481792718,20,184.5,explore,184.5,2400.0,2400.0
931,80.11204481792718,-10,160.8,explore,160.8,2400.0,2400.0
932,80.11204481792718,20,135.2,explore,135.2,2400.0,2400.0
933,80.11204481792718,20,145.2,explore,145.2,2400.0,2400.0
934,80.11204481792718,20,129.7,explore,129.7,2400.0,2400.0
935,80.11204481792718,20,157.9,explore,157.9,2400.0,2400.0
936,80.11204481792718,-1,161.3,explore,161.3,2400.0,2400.0
937,80.11204481792718,20,111.6,explore,111.6,2400.0,2400.0
938,80.11204481792718,20,142.5,explore,142.5,2400.0,2400.0
939,80.11204481792718,-1,149.2,explore,149.2,2400.0,2400.0
940,80.11204481792718,20,144.2,explore,144.2,2400.0,2400.0
941,80.11204481792718,-10,161.6,explore,161.6,2400.0,2400.0
942,80.11204481792718,20,139.4,explore,139.4,2400.0,2400.0
943,80.11204481792718,-10,165.6,explore,165.6,2400.0,2400.0
944,80.11204481792718,20,156.8,explore,156.8,2400.0,2400.0
945,80.11204481792718,20,148.4,explore,148.4,2400.0,2400.0
946,80.11204481792718,20,147.1,explore,147.1,2400.0,2400.0
