trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
694,65.98039215686275,-1,194.3,explore,194.3,2399.1,2060.9
695,66.00840336134453,-1,188.9,explore,188.9,2399.1,2061.4
696,66.02941176470588,-1,200.0,explore,200.0,2399.0,2061.7
697,66.05042016806723,-1,190.9,explore,190.9,2399.0,2062.1
698,66.06442577030813,-10,200.0,explore,200.0,2399.0,2062.3
699,66.08543417366947,-1,200.0,explore,200.0,2399.0,2062.6
700,66.1064425770308,-10,188.1,explore,188.1,2399.0,2062.9
701,66.1344537815126,-10,193.3,explore,193.3,2399.0,2063.8
702,66.16246498599439,-1,200.0,explore,200.0,2399.0,2064.3
703,66.19747899159663,20,192.5,explore,192.5,2399.1,2065.2
704,66.23249299719888,20,185.5,explore,185.5,2399.1,2065.8
705,66.23949579831933,-1,200.0,explore,200.0,2399.0,2066.1
706,66.27450980392157,-10,196.4,explore,196.4,2399.0,2066.8
707,66.33053221288516,-1,200.0,explore,200.0,2399.0,2067.9
708,66.3515406162465,-1,200.0,explore,200.0,2399.1,2068.6
709,66.37254901960783,-1,199.1,explore,199.1,2399.1,2069.3
710,66.40756302521007,-1,192.6,explore,192.6,2399.0,2070.1
711,66.43557422969187,-10,200.0,explore,200.0,2399.2,2071.0
712,66.43557422969187,-1,200.0,explore,200.0,2399.1,2071.0
713,66.45658263305322,-1,200.0,explore,200.0,2399.0,2071.5
714,66.57563025210085,-10,190.0,explore,190.0,2399.0,2073.5
715,66.65966386554621,20,191.2,explore,191.2,2399.0,2075.6
716,66.65966386554621,-1,200.0,explore,200.0,2399.0,2075.7
717,66.68067226890756,-1,200.0,explore,200.0,2399.0,2076.0
718,66.68067226890756,-1,192.9,explore,192.9,2399.0,2076.0
719,66.77170868347338,-1,188.1,explore,188.1,2399.0,2077.8
720,66.77170868347338,-1,200.0,explore,200.0,2399.0,2078.0
721,66.77170868347338,-10,200.0,explore,200.0,2399.0,2078.0
722,66.79271708683473,-1,200.0,explore,200.0,2399.0,2078.5
723,66.9047619047619,-10,189.0,explore,189.0,2399.1,2081.1
724,66.9467787114846,-1,200.0,explore,200.0,2399.1,2081.9
725,66.96778711484595,-10,190.6,explore,190.6,2399.0,2082.4
726,67.03781512605045,-1,197.7,explore,197.7,2399.0,2083.9
727,67.15686274509805,-1,194.2,explore,194.2,2399.0,2086.0
728,67.18487394957984,-1,198.7,explore,198.7,2399.0,2087.2
729,67.21988795518207,-1,200.0,explore,200.0,2399.0,2087.9
730,67.28991596638654,-1,189.8,explore,189.8,2399.0,2089.6
731,67.296918767507,-10,200.0,explore,200.0,2399.0,2089.7
732,67.296918767507,-10,190.5,explore,190.5,2399.0,2089.8
733,67.33193277310924,20,194.9,explore,194.9,2399.1,2090.5
734,67.34593837535013,-1,200.0,explore,200.0,2399.1,2090.9
735,67.36694677871148,-10,198.0,explore,198.0,2399.0,2091.2
736,67.38095238095238,-1,187.8,explore,187.8,2399.2,2091.5
737,67.40896358543415,-10,200.0,explore,200.0,2399.2,2092.4
738,67.42997198879551,-1,190.9,explore,190.9,2399.1,2092.7
739,67.45098039215685,-1,200.0,explore,200.0,2399.2,2093.3
740,67.45798319327729,-10,200.0,explore,200.0,2399.2,2093.5
